found_minima,found_saddles,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411]), array([-0.55822364,  1.44172584])]","[array([0.28066736, 0.27845517]), array([-0.47987174,  0.49681568]), array([0.28066736, 0.27845517]), array([-0.47987174,  0.49681568])]",57,"[13, 514, 1176]","[13, 514, 1176]",830,1,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822364,  1.44172584])]","[array([0.30966027, 0.20635387]), array([-0.24870685,  0.34966742]), array([0.30966027, 0.20635387]), array([-0.24870685,  0.34966742])]",45,"[13, 374, 958]","[13, 374, 958]",831,2,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.17021904, 0.09906134]), array([0.04476323, 0.25749031]), array([0.17021904, 0.09906134]), array([0.04476323, 0.25749031])]",33,"[13, 462, 657]","[13, 462, 657]",832,3,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([-0.03020134,  0.47052342]), array([-0.12101812,  0.54101281]), array([-0.03020134,  0.47052342]), array([-0.12101812,  0.54101281])]",21,"[13, 288, 383]","[13, 288, 383]",833,4,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.2511167 , 0.30445544]), array([-0.26407484,  0.36698146]), array([0.2511167 , 0.30445544]), array([-0.26407484,  0.36698146])]",48,"[13, 745, 983]","[13, 745, 983]",834,5,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([0.38599195, 0.24073525]), array([0.10322398, 0.48828598]), array([0.38599195, 0.24073525]), array([0.10322398, 0.48828598])]",18,"[13, 260, 335]","[13, 260, 335]",835,6,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([0.38602685, 0.28362395]), array([0.11819692, 0.07328771]), array([0.38602685, 0.28362395]), array([0.11819692, 0.07328771])]",43,"[13, 389, 874]","[13, 389, 874]",836,7,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.22988252, 0.34901732]), array([-1.09153667,  0.81744093]), array([0.22988252, 0.34901732]), array([-1.09153667,  0.81744093])]",24,"[13, 363, 478]","[13, 363, 478]",837,8,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822364,  1.44172584])]","[array([0.03632379, 0.48866166]), array([-0.04953809,  0.47668292]), array([0.03632379, 0.48866166]), array([-0.04953809,  0.47668292])]",16,"[13, 282, 310]","[13, 282, 310]",838,9,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([0.21556534, 0.31393144]), array([-0.15070719,  0.5936779 ]), array([0.21556534, 0.31393144]), array([-0.15070719,  0.5936779 ])]",23,"[13, 357, 434]","[13, 357, 434]",839,10,0.125,0.004726562500000001,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001084,  0.4666941 ]), array([-0.55822364,  1.44172584])]","[array([0.21983607, 0.29570647]), array([-0.80716779,  0.53299918]), array([0.21983607, 0.29570647]), array([-0.80716779,  0.53299918])]",122,"[101, 3137, 14296]","[101, 3137, 14296]",840,1,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([0.10418579, 0.19996684]), array([-0.02189058, -0.07198295]), array([0.10418579, 0.19996684]), array([-0.02189058, -0.07198295])]",172,"[101, 3241, 20435]","[101, 3241, 20435]",841,2,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584])]","[array([0.23560082, 0.09638973]), array([0.23560082, 0.09638973])]",5000,"[13, 313]","[13, 313]",138,9,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.005,Scipy
"[array([0.62349941, 0.02803776]), array([-0.0500108,  0.4666941]), array([-0.55822364,  1.44172583])]","[array([0.13668324, 0.21134317]), array([-0.87580879,  0.51583692]), array([0.13668324, 0.21134317]), array([-0.87580879,  0.51583692])]",178,"[101, 2650, 20986]","[101, 2650, 20986]",842,3,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,FIRE
