found_minima,found_saddles,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.05002969,  0.46669901]), array([-0.55822363,  1.44172584])]","[array([0.1996126 , 0.23644858]), array([-0.18871585,  0.47113415]), array([0.1996126 , 0.23644858]), array([-0.18871585,  0.47113415])]",30,"[13, 380, 443]","[13, 380, 443]",511,2,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822364,  1.44172584])]","[array([0.18923338, 0.08208078]), array([0.18923338, 0.08208078])]",5000,"[13, 178]","[13, 178]",34,5,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822297,  1.44172671])]","[array([-0.54109027,  0.49157209]), array([-0.54109027,  0.49157209])]",5000,"[13, 235]","[13, 235]",35,6,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05017194,  0.46672574]), array([-0.55822289,  1.44172681])]","[array([-0.07651716,  0.4609709 ]), array([-0.55031567,  0.49461609]), array([-0.07651716,  0.4609709 ]), array([-0.55031567,  0.49461609])]",27,"[13, 73, 412]","[13, 73, 412]",36,7,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822343,  1.44172612])]","[array([-0.35247092,  0.48999266]), array([-0.35247092,  0.48999266])]",5000,"[13, 295]","[13, 295]",37,8,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822342,  1.44172614])]","[array([0.03912732, 0.13595694]), array([0.03912732, 0.13595694])]",5000,"[13, 325]","[13, 325]",38,9,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822275,  1.44172699])]","[array([-1.17001479,  0.59820083]), array([-1.17001479,  0.59820083])]",5000,"[13, 383]","[13, 383]",39,10,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822239,  1.44172742])]","[array([-0.83057416,  0.57060783]), array([-0.83057416,  0.57060783])]",5000,"[101, 7165]","[101, 7165]",100,1,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822201,  1.4417279 ])]","[array([-0.86666898,  0.59572653]), array([-0.86666898,  0.59572653])]",5000,"[101, 4224]","[101, 4224]",20,1,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822257,  1.4417272 ])]","[array([-0.83261085,  0.59586947]), array([-0.83261085,  0.59586947])]",5000,"[101, 24173]","[101, 24173]",180,1,0.3333333333333333,0.03361111111111112,0.03333333333333333,1.2666666666666666,0.01,FIRE
