run_id,saddle_error_mean,saddle_error_stdv,minima_error_mean,minima_error_stdv,bias_count_mean,bias_count_stdv,energy_calls_mean,energy_calls_stdv,force_calls_mean,force_calls_stdv,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
113,0.6870014114758664,0.3477634771302009,0.13396054877505648,0.29954488889206654,1071.6666666666667,560.5148427016799,"[13.0, 11260.0, 40897.666666666664]","[0.0, 2653.1841247828993, 22455.02245724897]","[13.0, 11260.0, 40897.666666666664]","[0.0, 2653.1841247828993, 22455.02245724897]",0.125,0.0047265625,0.01,0.38,0.1,Scipy
114,0.018426328473089133,0.007673642172470966,0.4018816496402418,0.4018816496402418,2000.0,0.0,"[104.0, 58550.0]","[0.0, 3071.263909207413]","[104.0, 58550.0]","[0.0, 3071.263909207413]",0.125,0.0047265625,0.01,0.38,0.01,FIRE
115,0.10495355142601343,0.05020299679018545,0.4018816413251694,0.4018816413251694,319.0,29.698484809834994,"[13.0, 11199.333333333334, 11669.333333333334]","[0.0, 3096.2629446192423, 2811.1702584906207]","[13.0, 11199.333333333334, 11669.333333333334]","[0.0, 3096.2629446192423, 2811.1702584906207]",0.125,0.0047265625,0.01,0.38,0.01,Scipy
116,0.016312038466018603,0.015120593508259849,0.4018816538299719,0.4018816538299719,2000.0,0.0,"[104.0, 57769.666666666664]","[0.0, 544.8977477982044]","[104.0, 57769.666666666664]","[0.0, 544.8977477982044]",0.125,0.0047265625,0.01,0.38,0.001,FIRE
117,0.08483869067411472,0.0569710329526968,0.4018816450279113,0.4018816450279113,497.3333333333333,69.20661496963679,"[13.0, 13099.666666666666, 16333.333333333334]","[0.0, 2093.3382165548137, 1213.256041494219]","[13.0, 13099.666666666666, 16333.333333333334]","[0.0, 2093.3382165548137, 1213.256041494219]",0.125,0.0047265625,0.01,0.38,0.001,Scipy
118,0.012349914418850139,0.0067310745152522064,0.40188165103681844,0.4018816510368185,2000.0,0.0,"[104.0, 52899.333333333336]","[0.0, 546.0404950388041]","[104.0, 52899.333333333336]","[0.0, 546.0404950388041]",0.125,0.0047265625,0.01,0.38,0.0001,FIRE
119,0.08714914835470512,0.040160933826535315,0.40188164454092323,0.4018816445409233,563.3333333333334,76.13292469242346,"[13.0, 13641.0, 19635.666666666668]","[0.0, 1225.0314281682736, 3086.030063942274]","[13.0, 13641.0, 19635.666666666668]","[0.0, 1225.0314281682736, 3086.030063942274]",0.125,0.0047265625,0.01,0.38,0.0001,Scipy
120,0.5850550890586317,0.18479801063609194,0.4018816436313346,0.4018816436313347,242.0,4.898979485566356,"[104.0, 5437.333333333333, 30945.333333333332]","[0.0, 1368.766922777172, 733.1622527714372]","[104.0, 5437.333333333333, 30945.333333333332]","[0.0, 1368.766922777172, 733.1622527714372]",0.1,0.003025,0.2,7.6,0.1,FIRE
121,0.5406086615046474,0.24014167485187915,0.401881642234758,0.401881642234758,64.66666666666667,25.590796956892312,"[13.0, 1614.6666666666667, 3559.0]","[0.0, 495.1291638440306, 1100.5756069742172]","[13.0, 1614.6666666666667, 3559.0]","[0.0, 495.1291638440306, 1100.5756069742172]",0.1,0.003025,0.2,7.6,0.1,Scipy
122,0.15966093241976012,0.15162098020705855,0.40188164454092323,0.4018816445409233,207.33333333333334,51.95724738239657,"[104.0, 4597.333333333333, 27582.666666666668]","[0.0, 386.24459722938377, 6785.068623250779]","[104.0, 4597.333333333333, 27582.666666666668]","[0.0, 386.24459722938377, 6785.068623250779]",0.1,0.003025,0.2,7.6,0.01,FIRE
